"","X","Unique_ID","Voyage","CTD","Depth","Date","Year","Month","Day","Lat","Lon","Chl.c3","Chl.c2","Chl.c2_1","Chl.c1","Per","X19but","Fuco","Neox","Pra","Viol","X19hex","Ddx","Allo","Zea","Lut","ChlcMGDG.18","ChlcMGDG.14","Chl.b","DVChla","Tchla","V31","Clust"
"1",5616,"K_05617","PALMET_LTER ","",1,20070118,2007,1,18,-65.75068333,-68.59233333,0.0354,0,0,0,0.0193,0.0334,0.3361,0,0,0.0035,0.0819,0.1338,0.0226,0.0057,0,0,0,0,0,0.5743,"Shelf",213
"2",5743,"K_05744","PALMET_LTER ","",1,20070121,2007,1,21,-66.37413333,-70.17551667,0.0833,0,0,0,0.014,0.0526,0.0353,0,0,0.0226,0.3364,0.0205,0.0033,0.0013,0,0,0,0,0,0.3748,"Shelf",213
"3",5782,"K_05783","PALMET_LTER ","",1,20070122,2007,1,22,-66.24443333,-70.478,0.0629,0,0,0,0.0272,0.0355,0.0272,0,0,0.0184,0.2144,0.0128,0,0,0,0,0,0,0,0.2651,"Shelf",213
"4",6056,"K_06057","PALMET_LTER ","",1,20070129,2007,1,29,-67.98001667,-72.6606,0.0404,0,0,0,0.0134,0.0136,0.233,0,0,0.0036,0.0631,0.0208,0.0093,0.0065,0,0,0,0.003,0,0.3507,"Shelf",213
"5",6159,"K_06160","PALMET_LTER ","",11.445,20080107,2008,1,7,-65.10996667,-67.08501667,0.008,0,0,0,0.013,0.013,0.06,0,0,0.006,0.032,0.051,0,0.01,0,0,0,0.023,0,0.187,"Shelf",213
"6",6165,"K_06166","PALMET_LTER ","",12.703,20080108,2008,1,8,-64.98458333,-67.39253333,0.009,0,0,0,0.014,0.019,0.058,0,0,0.005,0.038,0.045,0.001,0.005,0,0,0,0.014,0,0.163,"Shelf",213
"7",6179,"K_06180","PALMET_LTER ","",35.798,20080108,2008,1,8,-64.73628333,-67.99798333,0.014,0,0,0,0.04,0.038,0.113,0,0,0.001,0.05,0.052,0.003,0.005,0,0,0,0.003,0,0.193,"Shelf",213
"8",6420,"K_06421","PALMET_LTER ","",13.707,20080120,2008,1,20,-66.63398333,-69.55581667,0.008,0,0,0,0.013,0.013,0.089,0,0,0.001,0.044,0.044,0.004,0.003,0,0,0,0.002,0,0.133,"Shelf",213
"9",6441,"K_06442","AMLR_2008","",75,20080121,2008,1,21,-61.7554,-59.0022,0.049,0,0.083,0,0.003,0.038,0.209,0,0,0.002,0.072,0.043,0.027,0.001,0,0,0,0.006,0,0.643,"Shelf",213
"10",6502,"K_06503","AMLR_2008","",75,20080124,2008,1,24,-61.7495,-57.4891,0.027,0,0.033,0,0.002,0.022,0.096,0,0,0.001,0.031,0.016,0.005,0.001,0,0,0,0.004,0,0.26,"Shelf",213
"11",6563,"K_06564","AMLR_2008","",75,20080126,2008,1,26,-61.2495,-55.7393,0.047,0,0.069,0,0.002,0.04,0.181,0,0,0.001,0.046,0.027,0.014,0.001,0,0,0,0.006,0,0.499,"Shelf",213
"12",6564,"K_06565","AMLR_2008","",10,20080126,2008,1,26,-61.0096,-55.7484,0.029,0,0.063,0,0.003,0.026,0.119,0,0,0.001,0.033,0.034,0.017,0.001,0,0,0,0.009,0,0.47,"Shelf",213
"13",6565,"K_06566","AMLR_2008","",75,20080126,2008,1,26,-61.0096,-55.7484,0.027,0,0.043,0,0.002,0.022,0.11,0,0,0.001,0.023,0.016,0.008,0.001,0,0,0,0.006,0,0.32,"Shelf",213
"14",6674,"K_06675","AMLR_2008","",75,20080130,2008,1,30,-61.9982,-53.9858,0.03,0,0.045,0,0.002,0.022,0.117,0,0,0.001,0.024,0.016,0.017,0.001,0,0,0,0.007,0,0.337,"Shelf",213
"15",6752,"K_06753","AMLR_2008","",75,20080202,2008,2,2,-62.5068,-59.481,0.019,0,0.047,0,0.002,0.016,0.135,0,0,0.001,0.025,0.021,0.008,0.004,0,0,0,0.004,0,0.375,"Shelf",213
"16",6765,"K_06766","AMLR_2008","",50,20080202,2008,2,2,-62.7484,-59.9862,0.083,0,0.08,0,0.004,0.051,0.197,0,0,0.001,0.089,0.029,0.019,0.002,0,0,0,0.004,0,0.53,"Shelf",213
"17",6773,"K_06774","AMLR_2008","",75,20080203,2008,2,3,-63.0273,-60.4531,0.046,0,0.039,0,0.002,0.027,0.126,0,0,0.001,0.044,0.022,0.004,0.001,0,0,0,0.004,0,0.281,"Shelf",213
