"","Per","X19but","Fuco","Neox","Pra","Viol","X19hex","Allo","Zea","Lut","ChlcMGDG.18","Chl.b","Dvchla","Tchla"
"1",0.004806277,0.01849566,0.184606804,0.001129627,0,0.000522723,0.067356699,0.001909309,0.001636001,0.000142297,0.011127451,0.000425488,0.000177759,0.394246563
"2",0.007591208,0.002163638,0.366705776,0.001561933,0.000403694,0.001197205,0.051816009,0.00159099,0.001073671,0.000374291,0.007186907,0.006561538,9.8e-05,0.654527105
"3",0.015237304,0.003535202,0.505613924,0.001662689,0.002223141,0.001783991,0.068208885,0.001310052,0.00154418,0.000210021,0.011742341,0.021052272,0.000249716,0.912097347
"4",0.006436953,0.014432767,0.408986481,0.001660782,0.002905765,0.002244056,0.054167373,0.001470716,0.001490218,0.000138662,0.002171978,0.03023332,0.000406327,0.765014859
"5",0.003571323,0.014361325,0.300388189,0.001883161,0.002676846,0.001978483,0.03866859,0.001380684,0.00107608,0.000403464,0.006670586,0.025228862,0.000235042,0.575271712
"6",0.001005051,0.008182872,0.14605136,0.001288519,0.00160177,0.001367433,0.02261467,0.000804556,0.000653559,0.000401414,0.002380041,0.013878425,0.000106735,0.287970447
"7",0.011467885,0.003396908,0.448365316,0.001314982,0.000406773,0.001384802,0.068906986,0.001989835,0.001244222,0.00023118,0.009328648,0.005142381,0.000238005,0.821637564
"8",0.001993426,0.00417174,0.07770517,0,0,0.000989874,0.030280935,0.000729834,0.000486717,0.000243715,0.003865627,0.001963376,0.000109199,0.174209692
"9",0.002254843,0.004074018,0.082629113,0,0,0.000766635,0.028842073,0.000596471,0.000509522,0.000274079,0.003586094,0.001732339,0.000143666,0.184439626
"10",0.002092912,0.004189534,0.08224876,0.000213244,0,0.000483154,0.02981229,0.000595563,0.000586311,0.000264764,0.003826573,0.002234264,0.000131234,0.183936584
"11",0.003573808,0.006385806,0.140719947,0.000959687,0.001462641,0.000527739,0.055102335,0.001307484,0.000976261,0.000353174,0.006712755,0.006494115,0.000156705,0.270423049
"12",0.004997952,0.007732434,0.144389153,0.00154992,0.002699477,0.001532823,0.055972373,0.001857854,0.001179397,0.000362239,0.007324914,0.013012111,8.53e-05,0.26898882
"13",0.005409221,0.013653993,0.175939656,0.001206718,0.001400332,0.001160576,0.056408569,0.000965457,0.001462317,0.000374819,0.00762098,0.008944189,0.000182973,0.39338501
"14",0.00635791,0.013268281,0.173782609,0.000467822,0.00136121,0.001408231,0.05146171,0.001005691,0.001572976,0.000348688,0.006732297,0.008350262,0.000107581,0.391318865
"15",0.006261375,0.014423,0.184358095,0.000565057,0.001499673,0.000986726,0.053285604,0.001007292,0.001527708,0.000334426,0.00102753,0.009334237,0.000236875,0.395174593
"16",0.004412856,0.005780836,0.113890199,0.000501528,0.000302643,0.000444966,0.040194898,0.000980381,0.001068768,0.000204359,0.004713476,0.001357616,5.73e-05,0.242343208
"17",0.003368133,0.009296983,0.138537444,0.000478807,0.000507856,0.001004636,0.052731146,0.001105981,0.001252755,0.000242354,0.002228498,0.002947597,0.000134672,0.292344544
"18",0.005822476,0.009044393,0.135253038,0.000780381,0.000986439,0.000712725,0.056351524,0.001331927,0.001423568,0.000331809,0.003317352,0.004623092,0.000105826,0.274147228
"19",0.007666982,0.020229443,0.183044344,0.001551975,0.002064199,0.001672003,0.102786978,0.00163382,0.001579922,0,0.015515858,0.015851696,0.000204326,0.422584372
"20",0.011376188,0.01414153,0.329375022,0,0.001338861,0.001468443,0.031133683,0.002846063,0.001693836,0.000141113,0.007928501,0.010776371,0.000202053,0.62105787
